t0: (100, 100) - > (-50, -50), speed = 19, height = 0
t1: (-50, -50) - > (50, 50), speed = 16, height = 20
t2: (50, 50) - > (65, 61), speed = 18, height = 20
t3: (65, 61) - > (80, 76), speed = 22, height = 20
t4: (80, 76) - > (95, 97), speed = 25, height = 19
t5: (95, 97) - > (110, 123), speed = 30, height = 19
t6: (110, 123) - > (125, 153), speed = 34, height = 18
t7: (125, 153) - > (140, 188), speed = 38, height = 17
t8: (140, 188) - > (155, 228), speed = 43, height = 15
t9: (155, 228) - > (170, 273), speed = 48, height = 14
t10: (170, 273) - > (185, 323), speed = 52, height = 12
t11: (185, 323) - > (200, 378), speed = 57, height = 9
t12: (200, 378) - > (215, 438), speed = 62, height = 5
t13: (215, 438) - > (230, 465), speed = 60, height = 0
t14: (230, 465) - > (244, 412), speed = 55, height = 7
t15: (244, 412) - > (257, 363), speed = 50, height = 10
t16: (257, 363) - > (271, 320), speed = 46, height = 12
t17: (271, 320) - > (284, 281), speed = 41, height = 14
t18: (284, 281) - > (298, 247), speed = 36, height = 15
t19: (298, 247) - > (311, 219), speed = 32, height = 16
t20: (311, 219) - > (325, 195), speed = 27, height = 16
t21: (325, 195) - > (338, 176), speed = 23, height = 17
t22: (338, 176) - > (352, 162), speed = 20, height = 17
t23: (352, 162) - > (365, 152), speed = 16, height = 18
t24: (365, 152) - > (379, 148), speed = 14, height = 18
t25: (379, 148) - > (392, 149), speed = 14, height = 18
t26: (392, 149) - > (406, 154), speed = 15, height = 18
t27: (406, 154) - > (419, 165), speed = 17, height = 17
t28: (419, 165) - > (433, 180), speed = 20, height = 17
t29: (433, 180) - > (446, 200), speed = 24, height = 16
t30: (446, 200) - > (460, 225), speed = 29, height = 15
t31: (460, 225) - > (473, 255), speed = 33, height = 14
t32: (473, 255) - > (487, 290), speed = 37, height = 13
t33: (487, 290) - > (500, 330), speed = 42, height = 12
t34: (500, 330) - > (514, 375), speed = 47, height = 10
t35: (514, 375) - > (527, 424), speed = 51, height = 6
t36: (527, 424) - > (541, 465), speed = 51, height = 0
t37: (541, 465) - > (553, 421), speed = 46, height = 7
t38: (553, 421) - > (565, 382), speed = 41, height = 9
t39: (565, 382) - > (577, 347), speed = 36, height = 11
t40: (577, 347) - > (589, 318), speed = 32, height = 12
t41: (589, 318) - > (601, 293), speed = 27, height = 13
t42: (601, 293) - > (613, 273), speed = 23, height = 14
t43: (613, 273) - > (626, 259), speed = 19, height = 14
t44: (626, 259) - > (638, 249), speed = 16, height = 15
t45: (638, 249) - > (644, 244), speed = 13, height = 15
t46: (644, 244) - > (632, 244), speed = 12, height = 15
t47: (632, 244) - > (620, 250), speed = 13, height = 15
t48: (620, 250) - > (608, 260), speed = 16, height = 14
t49: (608, 260) - > (595, 275), speed = 19, height = 14
t50: (595, 275) - > (583, 295), speed = 23, height = 13
t51: (583, 295) - > (571, 320), speed = 28, height = 12
t52: (571, 320) - > (559, 350), speed = 32, height = 11
t53: (559, 350) - > (547, 385), speed = 37, height = 9
t54: (547, 385) - > (535, 424), speed = 41, height = 6
t55: (535, 424) - > (523, 465), speed = 42, height = 0
t56: (523, 465) - > (512, 430), speed = 37, height = 6
t57: (512, 430) - > (501, 399), speed = 32, height = 8
t58: (501, 399) - > (490, 374), speed = 28, height = 10
t59: (490, 374) - > (479, 354), speed = 23, height = 11
t60: (479, 354) - > (468, 338), speed = 19, height = 11
t61: (468, 338) - > (457, 327), speed = 15, height = 12
t62: (457, 327) - > (446, 321), speed = 12, height = 12
t63: (446, 321) - > (435, 321), speed = 11, height = 12
t64: (435, 321) - > (424, 325), speed = 12, height = 12
t65: (424, 325) - > (413, 334), speed = 14, height = 11
t66: (413, 334) - > (402, 347), speed = 18, height = 11
t67: (402, 347) - > (391, 366), speed = 22, height = 10
t68: (391, 366) - > (380, 390), speed = 26, height = 9
t69: (380, 390) - > (369, 418), speed = 31, height = 7
t70: (369, 418) - > (358, 452), speed = 35, height = 4
t71: (358, 452) - > (348, 465), speed = 36, height = 0
t72: (348, 465) - > (338, 435), speed = 31, height = 5
t73: (338, 435) - > (328, 411), speed = 27, height = 7
t74: (328, 411) - > (318, 391), speed = 22, height = 9
t75: (318, 391) - > (308, 376), speed = 18, height = 9
t76: (308, 376) - > (298, 366), speed = 14, height = 10
t77: (298, 366) - > (288, 361), speed = 11, height = 10
t78: (288, 361) - > (279, 361), speed = 10, height = 10
t79: (279, 361) - > (269, 366), speed = 11, height = 10
t80: (269, 366) - > (259, 375), speed = 14, height = 9
t81: (259, 375) - > (249, 390), speed = 18, height = 9
t82: (249, 390) - > (239, 409), speed = 22, height = 7
t83: (239, 409) - > (229, 433), speed = 26, height = 6
t84: (229, 433) - > (220, 463), speed = 31, height = 2
t85: (220, 463) - > (210, 465), speed = 32, height = 0
t86: (210, 465) - > (201, 439), speed = 27, height = 5
t87: (201, 439) - > (192, 418), speed = 23, height = 7
t88: (192, 418) - > (183, 402), speed = 18, height = 8
t89: (183, 402) - > (174, 391), speed = 14, height = 9
t90: (174, 391) - > (165, 385), speed = 11, height = 9
t91: (165, 385) - > (157, 384), speed = 9, height = 9
t92: (157, 384) - > (148, 387), speed = 10, height = 9
t93: (148, 387) - > (139, 396), speed = 12, height = 8
t94: (139, 396) - > (130, 409), speed = 16, height = 7
t95: (130, 409) - > (121, 427), speed = 20, height = 6
